name,symbol,market_cap,price,percentage,number_of_coins_to_buy
Bitcoin,BTC,443581141501.58496,23014.721616992236,45.105283818772854,1.9598448579743284
Ethereum,ETH,193641453481.60776,1582.3758737585874,19.690315708194753,12.443513601749197
Tether,USDT,67340979600.16471,1.000233178627092,6.847527348023584,6845.9310232264215
BNB,BNB,48014210869.340195,304.0749299275573,4.882296396246277,16.056227974497713
USD Coin,USDC,43380828313.05358,1.0001163940720528,4.411153654391206,4410.640282008423
XRP,XRP,20609238273.696484,0.40571860381185043,2.0956381023706676,5165.250207117708
Binance USD,BUSD,15924338440.292887,1.0005805276671014,1.6192568569172112,1618.3173789046061
Cardano,ADA,12965938245.232903,0.37490189795588263,1.3184336974925748,3516.743192502387
Dogecoin,DOGE,11341857423.81134,0.08548874715286761,1.1532900077791932,13490.547542086744
Polygon,MATIC,9641566971.639235,1.1038718250076787,0.9803969872148859,888.1438632678809
Solana,SOL,8903140452.735754,23.96369460112741,0.9053105270427939,37.778420319219144
Polkadot,DOT,7374183586.65831,6.407019181231664,0.7498394599960038,117.03405886352553
Shiba Inu,SHIB,6330235371.940997,1.1529154499088494e-05,0.6436862084003037,55831172.047455356
Litecoin,LTC,6308686985.799124,87.4441057004863,0.6414950736070716,7.336058485226227
Dai,DAI,5868121388.0554495,1.0001851001381716,0.5966964235568311,596.58599540665
TRON,TRX,5689705267.838312,0.06195756951221065,0.5785542867811414,9337.911272764168
Avalanche,AVAX,5673454295.894179,18.024049955577883,0.5769018163911928,32.00733563283648
Uniswap,UNI,5094263362.827626,6.683548974640336,0.51800713179574,77.50480078192524
Wrapped Bitcoin,WBTC,4059640729.3311796,22942.61520472404,0.41280214636464335,0.01799281131122509
Cosmos,ATOM,3711798091.0225644,12.961533126539882,0.3774319751439519,29.11939285724824
Chainlink,LINK,3630833099.6098437,7.147309666915211,0.36919909828022207,51.655674020847194
UNUS SED LEO,LEO,3556020808.394682,3.727664356770154,0.36159185506656866,97.00225676430563
Monero,XMR,3125073852.0081077,171.40323450383386,0.31777127082610157,1.8539397564227051
Ethereum Classic,ETC,3020311044.0632796,21.709909530540823,0.30711852718148436,14.146467388518575
Toncoin,TON,2994960861.079185,2.4520697275133756,0.30454080894376856,124.19745063799674
Aptos,APT,2928940683.190776,18.27286499951529,0.29782758653006974,16.298899298931506
Bitcoin Cash,BCH,2592866992.2831903,134.38007943929537,0.2636541337067715,1.9620031094405934
Stellar,XLM,2399503074.2405286,0.09136439223109555,0.24399203902416197,2670.5375372827157
ApeCoin,APE,2314520717.039039,6.2793270831071855,0.23535065871618552,37.48023563692552
OKB,OKB,2153255692.195444,35.88759486992407,0.21895252084452435,6.101064215591096
NEAR Protocol,NEAR,2087095078.5705411,2.453631554634566,0.212225018306717,86.49424886383358
Filecoin,FIL,2006308693.7932281,5.388895938869895,0.20401030295218633,37.857532464241515
Cronos,CRO,2005403134.9229963,0.07938099386606612,0.2039182217385483,2568.8544802374854
Lido DAO,LDO,1894217148.422469,2.2988886598799967,0.19261234101332225,83.78498027102223
Quant,QNT,1795201581.5985918,148.69879405968985,0.18254400215439517,1.2276091632667805
Algorand,ALGO,1750187888.0243237,0.24310130869390106,0.17796681156976932,732.0685047971284
VeChain,VET,1721949942.2396786,0.023747382675668546,0.175095452893961,7373.25267737244
Hedera,HBAR,1689858668.3613956,0.06673509946548867,0.17183227084910224,2574.8410090849334
Internet Computer,ICP,1641045181.4039185,5.7660409342859245,0.16686870054052746,28.939909106141776
Fantom,FTM,1300581646.7429733,0.4690845359693516,0.1322488690733016,281.9297140120226
Decentraland,MANA,1232701405.292166,0.6644989002407709,0.12534650720561485,188.6331296563433
Aave,AAVE,1231035028.5633383,87.34962085603046,0.12517706268178247,1.4330578822786095
BitDAO,BIT,1201593909.8916867,0.5746651577100563,0.12218336008853939,212.61661412607555
EOS,EOS,1195310614.784145,1.105766712956657,0.12154444697292904,109.91870667542263
Axie Infinity,AXS,1154594413.4508371,11.4991341205073,0.11740424432377158,10.209833461668689
Flow,FLOW,1118188220.5360925,1.0791239341209153,0.11370230231013735,105.36537900325827
The Sandbox,SAND,1090148780.2532282,0.7270226823960585,0.11085112854788755,152.47272366049708
MultiversX,EGLD,1077361151.34056,43.53803418568392,0.10955082612853191,2.516209750337193
Theta Network,THETA,1050279119.3858167,1.0502791193858168,0.10679700586112227,101.68440359318495
Terra Classic,LUNC,1020854678.9576792,0.0001710069401142333,0.1038049991851239,607022.1425854515
